
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-04-18 19:50:48 / ........................................................................................ ~ 2s
  2026-04-18 19:50:50 /dashboard ............................................................................... ~ 1s
  2026-04-18 19:50:51 /login ................................................................................... ~ 1s
  2026-04-18 19:52:03 /login ............................................................................. ~ 505.54ms
  2026-04-18 19:52:03 /dashboard ............................................................................... ~ 1s
  2026-04-18 19:52:04 /livewire/livewire.js .................................................................... ~ 1s
  2026-04-18 19:52:07 /brand-logo.svg ...................................................................... ~ 1.00ms
  2026-04-18 19:52:07 /livewire/update ......................................................................... ~ 2s
  2026-04-18 19:52:09 /favicon.ico?v=20260328 .............................................................. ~ 0.39ms
  2026-04-18 19:52:09 /favicon.svg?v=20260328 .............................................................. ~ 1.16ms
  2026-04-18 19:52:10 /favicon.svg?v=20260328 .............................................................. ~ 0.32ms
  2026-04-18 19:52:10 ....................................................................................... ~ 1m 9s
  2026-04-19 16:02:02 / ........................................................................................ ~ 2s
  2026-04-19 16:02:02 /dashboard ............................................................................... ~ 4s
  2026-04-19 16:02:05 /brand-logo.svg .......................................................................... ~ 2s
  2026-04-19 16:02:07 /livewire/update ......................................................................... ~ 1s
  2026-04-19 16:02:07 /favicon.ico?v=20260328 .................................................................. ~ 1s
  2026-04-19 16:02:09 /logout .................................................................................. ~ 4s
  2026-04-19 16:02:13 / .................................................................................... ~ 0.37ms
  2026-04-19 16:02:14 /dashboard ......................................................................... ~ 507.01ms
  2026-04-19 16:02:14 /login ................................................................................... ~ 1s
  2026-04-19 16:02:16 /brand-logo.svg ...................................................................... ~ 1.79ms
  2026-04-19 16:02:16 /favicon.ico?v=20260328 .............................................................. ~ 0.53ms
  2026-04-19 16:02:16 /login .................................................................................. ~ 19s
  2026-04-19 16:02:35 /login ............................................................................. ~ 514.62ms
  2026-04-19 16:02:36 /brand-logo.svg ...................................................................... ~ 0.28ms
  2026-04-19 16:02:37 /favicon.ico?v=20260328 .............................................................. ~ 2.54ms
  2026-04-19 16:02:37 /login .................................................................................. ~ 15s
  2026-04-19 16:02:53 /login ............................................................................. ~ 494.53ms
  2026-04-19 16:02:53 /brand-logo.svg ...................................................................... ~ 0.99ms
  2026-04-19 16:02:54 /favicon.ico?v=20260328 .............................................................. ~ 0.37ms
  2026-04-19 16:02:54 /login .................................................................................. ~ 24s
  2026-04-19 16:03:19 /login ............................................................................. ~ 510.71ms
  2026-04-19 16:03:20 /brand-logo.svg ...................................................................... ~ 1.87ms
  2026-04-19 16:03:20 /favicon.ico?v=20260328 .............................................................. ~ 0.28ms
  2026-04-19 16:03:20 ...................................................................................... ~ 1m 54s
  2026-04-19 16:05:39 /login ................................................................................... ~ 1s
  2026-04-19 16:05:39 /login ................................................................................... ~ 1s
  2026-04-19 16:05:40 /brand-logo.svg .................................................................... ~ 693.47ms
  2026-04-19 16:05:44 /favicon.ico?v=20260328 .............................................................. ~ 1.46ms
  2026-04-19 16:05:44 /login .................................................................................. ~ 10s
  2026-04-19 16:05:55 /login ............................................................................. ~ 501.52ms
  2026-04-19 16:05:55 /brand-logo.svg ...................................................................... ~ 0.37ms
  2026-04-19 16:05:56 /favicon.ico?v=20260328 .............................................................. ~ 0.77ms
  2026-04-19 16:05:56 /login .................................................................................. ~ 28s
  2026-04-19 16:06:25 /login ............................................................................. ~ 514.06ms
  2026-04-19 16:06:26 /brand-logo.svg ...................................................................... ~ 1.80ms
  2026-04-19 16:06:26 /favicon.ico?v=20260328 .............................................................. ~ 0.28ms
  2026-04-19 16:06:26 / ....................................................................................... ~ 33s
  2026-04-19 16:06:59 /dashboard ........................................................................... ~ 0.27ms
  2026-04-19 16:07:00 /login ............................................................................. ~ 512.93ms
  2026-04-19 16:07:00 /brand-logo.svg ...................................................................... ~ 0.30ms
  2026-04-19 16:07:01 /favicon.ico?v=20260328 .............................................................. ~ 0.69ms
  2026-04-19 16:07:01 /favicon.ico?v=20260328 ................................................................. ~ 44s
  2026-04-19 16:07:45 ....................................................................................... ~ 1m 1s
